#adder	scaler
1.044837	0.045600379
1.2739008	-0.85284284
#zeta	theta
-0.96964111	-0.7170767
-0.9604512	0.74485479
0.10253633	1
-0.91663948	-0.35837612
0.54923803	0.094079965
-0.36853466	0.78235178
-0.44498255	0.077823688
-0.22370624	-0.020840769
0.44912368	0.04814958
-0.38021305	0.65898317
-0.4212341	-0.65076974
0.2482934	0.033204647
0.12108313	-0.014202138
-0.75788586	-0.34435412
0.4908676	0.088621995
0.18291264	-0.0021122666
